Unnamed: 0,dob,file_name,gender,gilbert_number,id,input_form,iver_number,location,post_sound,pre_sound,speaker_number,target_form,transcription,variable,File/Spkr,Vowel,Start,End,Dur,oTime,oPitch,oF1,oF2,oF3,gTime,gPitch,gF1,gF2,gF3,MaxFormants,NumberPoles,Notes
25,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/23-224-1-125-a.wav,m,125,23-224-1-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,23,fredericksburg,ʁ,k,224,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1936,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/29-226-2-125-a.wav,m,125,29-226-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,29,fredericksburg,ʁ,k,226,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1942,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/38-214-1-125-a.wav,m,125,38-214-1-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,38,fredericksburg,ʁ,k,214,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-398-1-125-a.wav,f,125,53-398-1-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,53,fredericksburg,ʁ,k,398,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-402-1-125-a.wav,f,125,53-402-1-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,53,fredericksburg,ʁ,k,402,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1949,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/58-369-1-125-a.wav,m,125,58-369-1-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,58,fredericksburg,ʁ,k,369,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1945,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/60-367-1-125-a.wav,m,125,60-367-1-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,60,fredericksburg,ʁ,k,367,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/freyburg/gilbert/113-455-2-125-a.wav,f,125,113-455-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,113,freyburg,ʁ,k,455,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/112-436-2-125-a.wav,m,125,112-436-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,112,"giddings, tx",ʁ,k,436,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/115-437-2-125-a.wav,f,125,115-437-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,115,"giddings, tx",ʁ,k,437,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/7-313-2-125-a.wav,m,125,7-313-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,7,giddings,ʁ,k,313,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/7-329-1-125-a.wav,f,125,7-329-1-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,7,giddings,ʁ,k,329,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,7-329-1-125-a,ʏ,0.560,0.650,0.090,0.590,244.79,554.35,1810.83,2326.36,0.620,236.88,600.11,1711.90,2319.36,5500 Hz,10,
37,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-193-2-125-a.wav,m,125,1-193-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,1,la grange,ʁ,k,193,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1930,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/51-286-2-125-a.wav,m,125,51-286-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,51,la grange,ʁ,k,286,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
